,most likely
0,1681.556014708753
1,1680.2724978147878
2,1678.3165200946935
3,1676.8429261331808
4,1676.4439110852359
5,1676.58345524118
6,1676.1765699306131
7,1674.7144649224729
8,1672.8122688240471
9,1671.6506458007168
10,1671.8866432981938
11,1673.1165367465856
