ds,most likely,best case,worst case
2022-12-31 12:00:00,1404.8892767612767,1651.295966036426,1165.03042658258
2022-12-31 13:00:00,1405.794084539362,1675.9916697576202,1166.479184273424
2022-12-31 14:00:00,1406.3651973704625,1647.8439173449742,1152.1186635752974
2022-12-31 15:00:00,1406.5356042426927,1637.9644805933642,1170.862563245879
2022-12-31 16:00:00,1406.4407583943655,1657.8012481149756,1166.8906130488447
2022-12-31 17:00:00,1406.2601008477395,1659.0237545954458,1178.9596277458782
2022-12-31 18:00:00,1406.1324778861472,1646.480190565943,1173.482137629475
2022-12-31 19:00:00,1406.1756891411424,1662.4948199754037,1154.474724844388
2022-12-31 20:00:00,1406.4953760832152,1656.8518027844952,1144.2220244470846
2022-12-31 21:00:00,1407.093397530523,1667.245779560796,1148.2849057372746
2022-12-31 22:00:00,1407.749025520957,1647.564957751626,1156.2968308483435
2022-12-31 23:00:00,1408.0492064607959,1645.8331391060408,1152.8079425129595
